lw	uf
9.7438662	0.01788
9.7438662	0.0179
9.7438662	0.01792
9.7438662	0.01794
9.7438662	0.01796
9.7438662	0.01798
9.7438662	0.018
9.7438662	0.01802
9.7438662	0.01804
9.7438662	0.01806
9.7438662	0.01808
9.7438662	0.0181
9.7438662	0.01812
9.7438662	0.01814
9.7438662	0.01816
9.7438662	0.01818
9.7438662	0.0182
9.7438662	0.01822
9.7438662	0.01824
9.7438662	0.01826
9.7438662	0.01828
9.7438662	0.0183
9.7438662	0.01832
9.7438662	0.01834
9.7438662	0.01836
9.7438662	0.01838
9.7438662	0.0184
9.7438662	0.01842
9.7438662	0.01844
9.7438662	0.01846
9.7438662	0.01848
9.7438662	0.0185
9.7438662	0.01852
9.7438662	0.01854
9.7438662	0.01856
9.7438662	0.01858
9.7438662	0.0186
9.7438662	0.01862
9.7438662	0.01864
9.7438662	0.01866
9.7438662	0.01868
9.7438662	0.0187
9.7438662	0.01872
9.7438662	0.01874
9.7438662	0.01876
9.7438662	0.01878
9.7438662	0.0188
9.7438662	0.01882
9.7438662	0.01884
9.7438662	0.01886
9.7438662	0.01888
9.7438662	0.0189
9.7438662	0.01892
9.7438662	0.01894
9.7438662	0.01896
9.7438662	0.01898
9.7438662	0.019
9.7438662	0.01902
9.7438662	0.01904
9.7438662	0.01906
9.7438662	0.01908
9.7438662	0.0191
9.7438662	0.01912
9.7438662	0.01914
9.7438662	0.01916
9.7438662	0.01918
9.7438662	0.0192
9.7438662	0.01922
9.7438662	0.01924
9.7438662	0.01926
9.7438662	0.01928
9.7438662	0.0193
9.7438662	0.01932
9.7438662	0.01934
9.7438662	0.01936
9.7438662	0.01938
9.7438662	0.0194
9.7438662	0.01942
9.7438662	0.01944
9.7438662	0.01946
9.7438662	0.01948
9.7438662	0.0195
9.7438662	0.01952
9.7438662	0.01954
9.7438662	0.01956
9.7438662	0.01958
9.7438662	0.0196
9.7438662	0.01962
9.7438662	0.01964
9.7438662	0.01966
9.7438662	0.01968
9.7438662	0.0197
9.7438662	0.01972
9.7438662	0.01974
9.7438662	0.01976
9.7438662	0.01978
9.7438662	0.0198
9.7438662	0.01982
9.7438662	0.01984
9.7438662	0.01986
9.7438662	0.01988
9.7438662	0.0199
9.7438662	0.01992
9.7438662	0.01994
9.7438662	0.01996
9.7438662	0.01998
9.7438662	0.02
9.7438662	0.02002
9.7438662	0.02004
9.7438662	0.02006
9.7438662	0.02008
9.7438662	0.0201
9.7438662	0.02012
9.7438662	0.02014
9.7438662	0.02016
9.7438662	0.02018
9.7438662	0.0202
9.7438662	0.02022
9.7438662	0.02024
9.7438662	0.02026
9.7438662	0.02028
9.7438662	0.0203
9.7438662	0.02032
9.7438662	0.02034
9.7438662	0.02036
9.7438662	0.02038
9.7438662	0.0204
9.7438662	0.02042
9.7438662	0.02044
9.7438662	0.02046
9.7438662	0.02048
9.7438662	0.0205
9.7438662	0.02052
9.7438662	0.02054
9.7438662	0.02056
9.7438662	0.02058
9.7438662	0.0206
9.7438662	0.02062
9.7438662	0.02064
9.7438662	0.02066
9.7438662	0.02068
9.7438662	0.0207
9.7438662	0.02072
9.7438662	0.02074
9.7438662	0.02076
9.7438662	0.02078
9.7438662	0.0208
9.7438662	0.02082
9.7438662	0.02084
9.7438662	0.02086
9.7438662	0.02088
9.7438662	0.0209
9.7438662	0.02092
9.7438662	0.02094
9.7438662	0.02096
9.7438662	0.02098
9.7438662	0.021
9.7438662	0.02102
9.7438662	0.02104
9.7438662	0.02106
9.7438662	0.02108
9.7438662	0.0211
9.7438662	0.02112
9.7438662	0.02114
9.7438662	0.02116
9.7438662	0.02118
9.7438662	0.0212
9.7438662	0.02122
9.7438662	0.02124
9.7438662	0.02126
9.7438662	0.02128
9.7438662	0.0213
9.7438662	0.02132
9.7438662	0.02134
9.7438662	0.02136
9.7438662	0.02138
9.7438662	0.0214
9.7438662	0.02142
9.7438662	0.02144
9.7438662	0.02146
9.7438662	0.02148
9.7438662	0.0215
9.7438662	0.02152
9.7438662	0.02154
9.7438662	0.02156
9.7438662	0.02158
9.7438662	0.0216
9.7438662	0.02162
9.7438662	0.02164
9.7438662	0.02166
9.7438662	0.02168
9.7438662	0.0217
9.7438662	0.02172
9.7438662	0.02174
9.7438662	0.02176
9.7438662	0.02178
9.7438662	0.0218
9.7438662	0.02182
9.7438662	0.02184
9.7438662	0.02186
9.7438662	0.02188
9.7438662	0.0219
9.7438662	0.02192
9.7438662	0.02194
9.7438662	0.02196
9.7438662	0.02198
9.7438662	0.022
9.7438662	0.02202
9.7438662	0.02204
9.7438662	0.02206
9.7438662	0.02208
9.7438662	0.0221
9.7438662	0.02212
9.7438662	0.02214
9.7438662	0.02216
9.7438662	0.02218
9.7438662	0.0222
9.7438662	0.02222
9.7438662	0.02224
9.7438662	0.02226
9.7438662	0.02228
9.7438662	0.0223
9.7438662	0.02232
9.7438662	0.02234
9.7438662	0.02236
9.7438662	0.02238
9.7438662	0.0224
9.7438662	0.02242
9.7438662	0.02244
9.7438662	0.02246
9.7438662	0.02248
9.7438662	0.0225
9.7438662	0.02252
9.7438662	0.02254
9.7438662	0.02256
9.7438662	0.02258
9.7438662	0.0226
9.7438662	0.02262
9.7438662	0.02264
9.7438662	0.02266
9.7438662	0.02268
9.7438662	0.0227
9.7438662	0.02272
9.7438662	0.02274
9.7438662	0.02276
9.7438662	0.02278
9.7438662	0.0228
9.7438662	0.02282
9.7438662	0.02284
9.7438662	0.02286
9.7438662	0.02288
9.7438662	0.0229
9.7438662	0.02292
9.7438662	0.02294
9.7438662	0.02296
9.7438662	0.02298
9.7438662	0.023
9.7438662	0.02302
9.7438662	0.02304
9.7438662	0.02306
9.7438662	0.02308
9.7438662	0.0231
9.7438662	0.02312
9.7438662	0.02314
9.7438662	0.02316
9.7438662	0.02318
9.7438662	0.0232
9.7438662	0.02322
9.7438662	0.02324
9.7438662	0.02326
9.7438662	0.02328
9.7438662	0.0233
9.7438662	0.02332
9.7438662	0.02334
9.7438662	0.02336
9.7438662	0.02338
9.7438662	0.0234
9.7438662	0.02342
9.7438662	0.02344
9.7438662	0.02346
9.7438662	0.02348
9.7438662	0.0235
9.7438662	0.02352
9.7438662	0.02354
9.7438662	0.02356
9.7438662	0.02358
9.7438662	0.0236
9.7438662	0.02362
9.7438662	0.02364
9.7438662	0.02366
9.7438662	0.02368
9.7438662	0.0237
9.7438662	0.02372
9.7438662	0.02374
9.7438662	0.02376
9.7438662	0.02378
9.7438662	0.0238
9.7438662	0.02382
